pair,age_left,age_right,gender_left,gender_right,quality_left,quality_right,liklihood,boxlx,boxly,boxlwidth,boxlheight,boxrx,boxry,boxrwidth,boxrheight
12,0.690723,0.94835,0.13159,0.985032,0.139775,0.416961,0.714411,244,122,104,142,60,51,142,169,
13,0.597578,0.94835,0.959284,0.985032,0.716985,0.416961,0.72709,257,123,114,149,60,51,142,169,
14,0.779918,0.97506,0.951845,0.930447,0.140323,0.696999,0.647264,272,0,167,208,70,48,129,162,
16,0.985866,0.90665,0.932364,1.05581,0.218422,1.05208,0.743568,215,44,281,366,98,52,251,334,
17,1.00754,0.90665,0.97756,1.05581,0.365289,1.05208,0.757473,257,168,162,199,98,52,251,334,
20,0.737847,0.469962,0.537539,0.944754,0.875386,0.667451,0.880641,287,153,121,180,49,23,163,211,
21,0.901558,0.469962,0.291933,0.944754,0.0875505,0.667451,0.824512,316,159,103,160,49,23,163,211,
24,0.976954,0.992881,0.0219509,0.601409,0.240266,0.323188,0.787041,322,148,145,181,64,36,106,130,
25,0.955079,1.0331,0.761768,1.00027,0.229612,0.643571,0.728989,107,76,151,178,122,92,216,268,
26,0.838057,1.0331,0.956971,1.00027,0.324898,0.643571,0.701521,85,55,147,177,122,92,216,268,
27,0.992843,1.0331,0.772205,1.00027,0.290652,0.643571,0.675063,100,67,143,170,122,92,216,268,
28,0.987386,1.0331,0.511739,1.00027,0.299858,0.643571,0.686837,178,36,146,187,122,92,216,268,
29,0.823442,0.515092,0.0367886,0.688453,0.0592633,0.611717,0.768199,301,147,250,303,53,28,128,164,
30,0.59119,0.515092,-0.00562908,0.688453,0.264438,0.611717,0.768773,314,155,228,283,53,28,128,164,
31,0.691972,0.515092,0.113056,0.688453,0.321671,0.611717,0.769009,207,175,245,301,53,28,128,164,
32,0.463139,0.515092,0.762136,0.688453,0.211694,0.611717,0.796739,97,191,198,247,53,28,128,164,
33,0.0931192,0.515092,0.226504,0.688453,0.180616,0.611717,0.748678,238,191,206,265,53,28,128,164,
34,0.445462,0.515092,0.142899,0.688453,0.516559,0.611717,0.779729,256,214,210,256,53,28,128,164,
35,0.649865,0.515092,-0.0106331,0.688453,0.529238,0.611717,0.748864,274,218,198,225,53,28,128,164,
36,0.554386,0.515092,0.030339,0.688453,0.518188,0.611717,0.751504,266,215,193,232,53,28,128,164,
37,0.221257,0.515092,0.0138488,0.688453,0.421733,0.611717,0.74705,264,216,186,230,53,28,128,164,
38,0.699793,0.515092,0.058386,0.688453,0.521374,0.611717,0.734194,231,204,217,265,53,28,128,164,
39,0.250058,0.515092,-0.0335346,0.688453,0.983743,0.611717,0.772297,226,223,207,243,53,28,128,164,
40,0.810421,0.515092,0.00774819,0.688453,0.0572321,0.611717,0.713489,248,149,189,239,53,28,128,164,
41,0.583883,0.515092,-0.0004666,0.688453,0.498858,0.611717,0.702915,233,185,187,228,53,28,128,164,
42,0.746649,0.515092,0.204292,0.688453,0.113715,0.611717,0.714523,82,188,185,230,53,28,128,164,
43,0.689217,0.515092,0.0756397,0.688453,0.420512,0.611717,0.733884,154,187,185,227,53,28,128,164,
44,0.634537,0.515092,0.0613599,0.688453,0.244008,0.611717,0.752932,124,189,180,222,53,28,128,164,
