pair,age_left,age_right,gender_left,gender_right,quality_left,quality_right,liklihood,boxlx,boxly,boxlwidth,boxlheight,boxrx,boxry,boxrwidth,boxrheight
13,0.901543,0.839431,1.00538,1.01425,1.07818,0.372045,0.696424,258,146,103,137,61,58,134,159,
14,0.751869,0.982308,1.05885,0.944008,0.42098,0.528768,0.62514,259,0,186,215,70,47,130,162,
16,0.950453,0.982391,0.951837,1.02433,0.3065,0.915289,0.759968,217,43,263,343,99,57,245,321,
17,1.02238,0.982391,1.00205,1.02433,0.462104,0.915289,0.752472,247,159,174,213,99,57,245,321,
19,0.134297,0.201435,0.96411,0.432509,1.06572,1.10115,0.678184,108,23,112,164,68,52,132,174,
21,0.853993,0.42051,0.698988,0.917633,0.20067,0.274545,0.796942,329,173,105,146,43,22,177,228,
24,1.01838,0.991278,0.0226538,0.584916,0.211972,0.334926,0.78302,326,150,143,182,64,36,106,130,
25,1.03072,1.03825,0.838304,0.978456,0.276272,0.577475,0.738695,106,67,143,178,124,92,215,268,
26,0.971629,1.03825,0.948579,0.978456,0.378467,0.577475,0.69528,87,57,140,166,124,92,215,268,
27,1.02383,1.03825,0.950342,0.978456,0.304948,0.577475,0.665293,100,59,147,181,124,92,215,268,
28,1.01649,1.03825,0.851759,0.978456,0.316542,0.577475,0.67983,165,27,178,208,124,92,215,268,
29,0.769843,0.518518,0.0476059,0.71728,0.0932652,0.600493,0.774747,297,143,244,295,53,28,128,164,
30,0.308051,0.518518,-0.0137812,0.71728,0.226016,0.600493,0.777306,305,152,244,294,53,28,128,164,
31,0.413868,0.518518,0.109102,0.71728,0.337022,0.600493,0.77158,207,179,244,301,53,28,128,164,
32,0.538257,0.518518,0.848109,0.71728,0.310456,0.600493,0.803236,104,190,190,239,53,28,128,164,
33,0.094825,0.518518,0.222779,0.71728,0.177078,0.600493,0.751622,238,191,206,265,53,28,128,164,
34,0.37581,0.518518,0.326719,0.71728,0.485398,0.600493,0.784903,257,217,216,259,53,28,128,164,
35,0.360414,0.518518,0.0608544,0.71728,0.516154,0.600493,0.744118,276,219,193,222,53,28,128,164,
36,0.45493,0.518518,-0.0121972,0.71728,0.490742,0.600493,0.752647,265,213,194,238,53,28,128,164,
37,0.724416,0.518518,0.0910123,0.71728,0.484155,0.600493,0.74286,271,217,180,217,53,28,128,164,
38,0.565178,0.518518,0.0331871,0.71728,0.40753,0.600493,0.750702,236,208,223,272,53,28,128,164,
39,0.166356,0.518518,-0.0132381,0.71728,0.789878,0.600493,0.765562,227,232,182,218,53,28,128,164,
40,0.842753,0.518518,-0.00777598,0.71728,0.0345339,0.600493,0.720303,248,147,198,248,53,28,128,164,
41,0.687856,0.518518,0.00637487,0.71728,0.630953,0.600493,0.711157,235,191,182,219,53,28,128,164,
42,0.605714,0.518518,0.0300526,0.71728,0.186163,0.600493,0.717901,91,188,183,229,53,28,128,164,
43,0.476342,0.518518,0.0948263,0.71728,0.356572,0.600493,0.728742,155,187,187,225,53,28,128,164,
44,0.59595,0.518518,0.00473288,0.71728,0.269036,0.600493,0.753809,121,186,190,224,53,28,128,164,
45,0.521343,0.518518,0.0333217,0.71728,0.430482,0.600493,0.744666,132,189,194,233,53,28,128,164,
46,0.650682,0.518518,0.0227912,0.71728,0.488171,0.600493,0.750874,146,191,173,218,53,28,128,164,
47,0.933881,0.518518,0.0412389,0.71728,0.495265,0.600493,0.726213,115,192,179,216,53,28,128,164,
48,0.904405,0.518518,0.573896,0.71728,0.320425,0.600493,0.709253,75,200,187,219,53,28,128,164,
49,0.672951,0.518518,0.369867,0.71728,0.459128,0.600493,0.718004,87,202,174,213,53,28,128,164,
50,0.8885,0.518518,0.144005,0.71728,0.210262,0.600493,0.71343,81,191,188,221,53,28,128,164,
51,0.88468,0.518518,0.641162,0.71728,0.289569,0.600493,0.742592,108,195,172,207,53,28,128,164,
52,0.733611,0.518518,0.262452,0.71728,0.42579,0.600493,0.733523,28,208,151,194,53,28,128,164,
53,0.765671,0.518518,0.126078,0.71728,0.354281,0.600493,0.75405,109,204,160,198,53,28,128,164,
54,0.741069,0.518518,0.187956,0.71728,0.374599,0.600493,0.743739,97,206,162,202,53,28,128,164,
55,0.494215,0.518518,0.00193292,0.71728,0.706251,0.600493,0.752212,98,218,154,195,53,28,128,164,
56,0.57392,0.518518,0.628879,0.71728,0.300856,0.600493,0.772572,135,198,169,205,53,28,128,164,
57,0.82971,0.518518,0.0554852,0.71728,0.432676,0.600493,0.740181,72,207,149,196,53,28,128,164,
58,0.524948,0.518518,0.459313,0.71728,0.457874,0.600493,0.767053,126,201,157,201,53,28,128,164,
59,0.0270155,0.498547,0.768042,0.373703,1.06198,0.9967,0.853454,288,122,131,165,85,95,171,187,
60,0.369457,0.498547,1.02982,0.373703,0.729428,0.9967,0.887117,328,98,124,161,85,95,171,187,
61,0.458683,0.498547,0.621034,0.373703,0.748675,0.9967,0.878884,272,108,130,164,85,95,171,187,
62,0.0359737,0.498547,0.0472723,0.373703,0.729604,0.9967,0.87753,257,121,113,149,85,95,171,187,
63,0.260613,0.498547,0.59825,0.373703,0.877772,0.9967,0.736936,501,160,104,132,85,95,171,187,
64,0.965259,0.819474,1.00451,0.963938,0.259303,0.762872,0.768612,270,162,102,137,81,42,211,265,
65,1.00321,0.819474,1.00311,0.963938,0.536392,0.762872,0.787126,258,152,105,140,81,42,211,265,
94,0.327424,0.509809,0.621759,0.91997,1.38584,1.13634,0.830916,275,97,148,202,91,15,158,215,
98,0.986335,0.345359,0.91004,0.250522,0.432633,0.763908,0.741267,0,0,210,310,68,36,132,177,
99,0.870438,0.979102,0.973618,0.945476,0.621405,0.984687,0.751186,0,189,104,136,69,40,141,186,
101,0.468949,0.980456,0.971424,1.04428,0.689839,0.714513,0.782794,151,148,160,265,69,41,141,185,
102,0.24348,0.980456,0.0476194,1.04428,0.849007,0.714513,0.76813,120,161,148,246,69,41,141,185,
103,-0.0194028,0.980456,0.0861735,1.04428,0.269942,0.714513,0.767798,129,174,138,213,69,41,141,185,
120,1.00873,0.891166,1.022,0.990315,0.441278,0.337624,0.712921,83,136,135,177,74,45,115,137,
131,0.208433,0.0451554,0.0954669,0.828134,0.869343,0.594692,0.883463,458,77,100,145,42,27,122,154,
138,0.694449,0.871804,0.0783321,1.01614,0.462361,1.05935,0.88648,0,191,177,234,44,39,123,151,
139,0.00978808,0.871804,0.898105,1.01614,0.620187,1.05935,0.855605,208,163,153,243,44,39,123,151,
143,0.262958,0.871804,0.897516,1.01614,0.518548,1.05935,0.714288,60,193,159,211,44,39,123,151,
180,0.32106,0.748096,0.969965,0.042456,0.460001,0.728994,0.717692,327,191,167,208,80,45,118,145,
181,0.105684,0.752448,0.36734,0.856296,1.0243,0.751424,0.620513,240,190,258,290,78,61,145,184,
182,0.88078,0.557406,0.906362,1.04724,0.0172969,0.76276,0.77113,300,202,230,275,66,44,135,166,
183,0.342919,0.557406,0.966177,1.04724,0.0427567,0.76276,0.767122,290,149,249,325,66,44,135,166,
193,0.0807976,0.693632,1.07968,0.885975,0.262956,0.699993,0.755933,380,257,101,131,45,48,101,132,
194,0.375725,0.693632,0.461188,0.885975,0.773178,0.699993,0.805008,374,253,101,142,45,48,101,132,
195,0.328778,0.693632,0.534567,0.885975,0.909111,0.699993,0.835984,380,247,108,153,45,48,101,132,
197,0.129838,0.693632,0.696367,0.885975,0.70212,0.699993,0.820762,385,254,107,148,45,48,101,132,
