pair,age_left,age_right,gender_left,gender_right,quality_left,quality_right,liklihood,boxlx,boxly,boxlwidth,boxlheight,boxrx,boxry,boxrwidth,boxrheight
12,0.794773,0.61324,0.116731,0.976571,1.38174,1.12207,0.703401,239,114,113,166,71,58,141,173,
13,0.244996,0.61324,0.981077,0.976571,4.27298,1.12207,0.745823,254,120,114,155,71,58,141,173,
14,0.624686,0.984907,0.9672,0.921454,1.91942,1.26913,0.640017,274,1,187,225,71,51,129,159,
16,0.993867,0.965912,0.988971,1.00044,1.07564,2.56997,0.768697,204,63,265,338,111,58,239,324,
17,1.00047,0.965912,1.02081,1.00044,1.06104,2.56997,0.754289,244,167,169,223,111,58,239,324,
19,0.430588,0.458374,0.687386,0.600112,1.20537,3.78348,0.75209,106,19,109,158,61,38,141,185,
25,0.921743,0.991647,0.788146,1.05399,1.94305,2.164,0.721627,111,80,137,160,101,72,254,322,
26,1.0192,0.991647,1.01477,1.05399,1.26072,2.164,0.696504,88,67,190,222,101,72,254,322,
27,0.992136,0.991647,0.967378,1.05399,1.10688,2.164,0.668555,106,66,149,189,101,72,254,322,
28,0.979556,0.991647,0.614025,1.05399,1.06318,2.164,0.662119,177,39,157,188,101,72,254,322,
29,0.425413,0.559256,0.193661,0.74135,1.11068,3.54069,0.79103,296,165,239,311,55,40,113,145,
30,0.262617,0.559256,0.0723392,0.74135,1.06104,3.54069,0.779637,295,173,228,305,55,40,113,145,
31,0.348779,0.559256,0.469408,0.74135,1.06104,3.54069,0.786014,207,191,233,289,55,40,113,145,
32,0.226092,0.559256,0.685935,0.74135,1.06104,3.54069,0.787056,111,217,185,214,55,40,113,145,
33,0.330279,0.559256,0.119356,0.74135,1.06104,3.54069,0.741092,230,205,211,268,55,40,113,145,
34,0.288233,0.559256,0.319036,0.74135,1.06782,3.54069,0.768223,251,206,220,263,55,40,113,145,
35,0.122349,0.559256,-0.037606,0.74135,1.08593,3.54069,0.72859,271,223,195,246,55,40,113,145,
36,0.0541117,0.559256,-0.0119894,0.74135,1.06104,3.54069,0.746162,269,232,186,226,55,40,113,145,
37,0.503896,0.559256,0.228261,0.74135,1.06104,3.54069,0.74054,268,231,189,227,55,40,113,145,
38,0.12236,0.559256,0.00811818,0.74135,1.94404,3.54069,0.73554,241,224,190,238,55,40,113,145,
39,0.0776955,0.559256,-0.0240026,0.74135,1.80755,3.54069,0.7561,227,226,195,245,55,40,113,145,
40,0.884969,0.559256,-0.0285516,0.74135,1.06104,3.54069,0.723115,252,176,178,226,55,40,113,145,
41,0.217224,0.559256,0.0368825,0.74135,1.06387,3.54069,0.730272,230,193,182,226,55,40,113,145,
42,0.722942,0.559256,0.105792,0.74135,1.06104,3.54069,0.718065,78,185,191,245,55,40,113,145,
43,0.452011,0.559256,0.337112,0.74135,1.07896,3.54069,0.761694,179,211,160,199,55,40,113,145,
44,0.590879,0.559256,0.69949,0.74135,1.06104,3.54069,0.761862,129,199,163,205,55,40,113,145,
45,0.552592,0.559256,0.57096,0.74135,1.09265,3.54069,0.759225,143,202,172,212,55,40,113,145,
46,0.300462,0.559256,0.438239,0.74135,1.06104,3.54069,0.776519,140,205,164,213,55,40,113,145,
47,0.873926,0.559256,0.0506207,0.74135,1.06104,3.54069,0.730083,111,190,190,221,55,40,113,145,
48,0.891893,0.559256,0.615622,0.74135,1.06104,3.54069,0.715527,68,196,189,227,55,40,113,145,
49,0.652636,0.559256,0.245805,0.74135,1.09589,3.54069,0.732966,80,198,178,220,55,40,113,145,
50,0.863297,0.559256,0.133991,0.74135,1.16048,3.54069,0.731458,82,204,176,212,55,40,113,145,
51,0.805663,0.559256,0.208318,0.74135,1.06104,3.54069,0.753549,106,205,178,214,55,40,113,145,
52,0.546699,0.559256,0.0703399,0.74135,1.11695,3.54069,0.72542,34,225,155,185,55,40,113,145,
53,0.701695,0.559256,0.170006,0.74135,1.27489,3.54069,0.76555,99,198,181,221,55,40,113,145,
54,0.554679,0.559256,0.294666,0.74135,1.06104,3.54069,0.756244,93,208,162,201,55,40,113,145,
55,0.504608,0.559256,0.0577398,0.74135,1.13253,3.54069,0.758322,80,223,169,202,55,40,113,145,
56,0.252096,0.559256,0.734186,0.74135,1.06104,3.54069,0.77788,147,211,169,205,55,40,113,145,
57,0.595435,0.559256,0.215185,0.74135,1.15247,3.54069,0.712209,74,242,155,181,55,40,113,145,
58,0.615099,0.559256,0.192039,0.74135,1.06104,3.54069,0.771105,118,194,178,226,55,40,113,145,
64,0.954099,0.942974,0.996206,0.979472,1.06104,2.07421,0.786649,260,151,113,149,97,62,168,219,
65,0.936461,0.942974,1.00758,0.979472,1.06104,2.07421,0.793111,257,149,110,146,97,62,168,219,
94,0.525847,0.0240425,1.00337,0.0276118,2.98431,2.20556,0.725366,253,89,155,206,67,17,182,236,
98,0.963819,0.742787,1.04841,0.552105,1.10986,2.91305,0.662998,0,0,198,257,65,40,125,178,
99,0.826417,0.913831,1.02816,0.97938,1.56528,1.66784,0.741347,0,193,103,130,75,28,154,188,
100,0.00846985,0.331743,0.785507,0.619426,3.37856,4.34199,0.643711,145,263,114,144,77,52,112,150,
101,0.59948,1.01162,0.884632,0.988704,2.57523,1.59531,0.83047,144,162,160,245,59,18,170,219,
102,0.475394,1.01162,0.0720187,0.988704,3.01075,1.59531,0.808946,127,165,135,222,59,18,170,219,
103,0.0369145,1.01162,0.452474,0.988704,1.06599,1.59531,0.771052,120,168,139,217,59,18,170,219,
105,0.289861,0.609696,0.00819772,0.840283,1.07963,1.9723,0.798352,133,74,107,149,58,51,100,140,
120,0.945793,0.950642,1.00589,1.00904,1.06104,1.06692,0.719374,89,151,132,162,72,43,114,136,
138,0.725743,0.820592,0.0151606,0.877399,1.6214,1.97875,0.792656,0,175,190,243,49,40,116,145,
139,0.0405185,0.820592,0.948622,0.877399,2.14855,1.97875,0.788986,208,162,164,251,49,40,116,145,
143,0.334529,0.820592,0.960801,0.877399,1.07621,1.97875,0.780106,55,188,152,207,49,40,116,145,
180,0.0764068,0.780097,0.462935,0.47179,1.06104,2.22026,0.723523,334,201,157,189,73,61,102,134,
181,0.169673,0.643575,0.596781,0.642969,4.63722,2.04873,0.641477,247,201,246,279,72,62,149,187,
182,0.333199,0.837923,0.987138,0.965186,1.55912,1.88239,0.762323,319,206,231,274,60,45,141,176,
183,0.768551,0.837923,0.972198,0.965186,1.10026,1.88239,0.75953,310,195,221,285,60,45,141,176,
189,0.477215,0.0328259,0.453423,0.0469194,1.17094,2.94005,0.598953,185,224,120,174,51,42,106,127,
193,0.50951,0.0328259,0.80662,0.0469194,1.0698,2.94005,0.63836,366,256,112,148,51,42,106,127,
195,-0.0082234,0.0328259,0.917247,0.0469194,2.71412,2.94005,0.630758,381,260,105,138,51,42,106,127,
199,0.0542545,0.483175,-0.00840205,0.962049,1.81626,1.06939,0.584824,374,313,102,121,50,0,119,140,
201,0.107301,0.483175,0.731235,0.962049,1.5419,1.06939,0.641956,238,270,106,126,50,0,119,140,
202,0.249156,0.483175,0.0570562,0.962049,1.57224,1.06939,0.630491,266,297,102,130,50,0,119,140,
216,0.0303674,0.483175,0.0413805,0.962049,2.45961,1.06939,0.600227,374,210,102,121,50,0,119,140,
222,0.300801,0.361182,0.02628,0.756839,4.11992,4.04552,0.709364,34,72,205,306,54,44,122,148,
235,0.955833,0.702837,0.990794,1.00964,1.92413,1.11462,0.751379,242,87,134,157,77,49,179,218,
237,0.829194,0.75159,0.478496,0.812137,1.44534,3.36332,0.539674,395,196,124,152,53,44,136,170,
241,0.690981,0.614962,1.04566,0.461709,2.48674,1.31465,0.549553,302,134,113,147,76,59,255,317,
250,0.494224,0.90464,0.998949,1.02422,2.70328,4.15352,0.799891,485,300,111,145,59,45,141,174,
264,1.06878,0.90464,0.999228,1.02422,1.16615,4.15352,0.506123,346,175,103,133,59,45,141,174,
279,0.412965,0.540016,0.928236,0.887456,1.89328,2.06608,0.898286,114,190,233,279,47,51,105,132,
283,0.0165768,0.463726,0.0927004,0.540564,2.95226,2.94952,0.866386,261,251,188,229,76,28,177,227,
287,0.188602,0.286486,0.820204,0.0694827,4.97388,2.06999,0.865003,507,268,127,165,86,43,148,187,
288,0.486852,0.286486,0.884291,0.0694827,4.47833,2.06999,0.862486,513,271,121,169,86,43,148,187,
308,0.0607097,0.181981,0.812711,0.573707,1.55341,3.57009,0.705384,492,149,147,201,67,41,185,236,
313,0.503217,0.0566051,0.159205,0.842308,1.62779,1.57116,0.55498,166,324,136,156,82,66,165,206,
314,0.859477,0.0566051,0.988856,0.842308,1.16863,1.57116,0.528334,11,210,201,260,82,66,165,206,
315,0.488926,0.0566051,0.666583,0.842308,7.08542,1.57116,0.830856,415,251,160,221,82,66,165,206,
321,0.3404,0.0566051,0.925364,0.842308,2.6723,1.57116,0.770186,36,286,192,194,82,66,165,206,
336,0.933073,0.883229,0.238505,0.485811,1.06104,1.85165,0.651515,215,8,299,397,64,50,106,134,
344,0.572728,0.614343,0.958961,0.751473,1.06104,3.62661,0.762759,0,258,110,153,109,67,157,199,
358,0.98514,0.808658,0.757697,0.908962,3.5379,1.51521,0.705578,329,90,129,160,49,33,121,159,
368,0.978094,0.777201,0.883125,0.267069,1.06592,2.23981,0.629212,219,66,225,294,61,46,114,143,
374,0.233864,0.104317,0.18092,0.897985,9.17504,4.39085,0.807946,283,280,136,194,60,28,168,235,
382,0.218593,0.702233,0.746285,0.503991,1.22102,3.03109,0.780082,187,220,121,173,59,45,117,146,
386,0.724475,0.706183,1.03079,0.866639,2.63499,4.52287,0.78717,40,337,125,143,49,29,110,141,
430,0.675702,0.118589,0.00550452,0.981205,1.18197,1.52082,0.588692,324,87,169,211,72,51,136,168,
432,0.347306,0.140098,0.0469355,1.00988,1.07902,4.76521,0.646278,338,104,152,194,65,48,180,233,
450,0.0291755,0.152758,1.04747,0.563027,3.16213,1.63093,0.638716,151,220,120,147,51,42,107,129,
451,0.823933,0.152758,1.03103,0.563027,3.03162,1.63093,0.773929,48,188,105,159,51,42,107,129,
457,0.351893,0.152758,0.03346,0.563027,2.90348,1.63093,0.816255,463,95,135,193,51,42,107,129,
